date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
13-02-2014,35,Palestinian,Gaza City,Gaza,Gaza Strip,13-02-2014,M,No,Gaza city,Gaza,gunfire,live ammunition,Israeli security forces,Feb 2014,15-44
24-01-2014,19,Palestinian,a-Sayfa,North Gaza,Gaza Strip,24-01-2014,M,No,Beit Lahiya,North Gaza,gunfire,live ammunition,Israeli security forces,Jan 2014,15-44
22-01-2014,23,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,22-01-2014,M,No,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jan 2014,15-44
22-01-2014,21,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,22-01-2014,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jan 2014,15-44
02-01-2014,16,Palestinian,Jabalya,North Gaza,Gaza Strip,03-01-2014,M,No,Jabalya,North Gaza,gunfire,live ammunition,Israeli security forces,Jan 2014,15-44
24-12-2013,22,Israeli,Kibbutz Nahal Oz,Israel,Israel,24-12-2013,M,Israelis,Rahat,Israel,gunfire,live ammunition,Palestinian civilians,Dec 2013,15-44
24-12-2013,2,Palestinian,al-Maghazi R.C.,Deir al-Balah,Gaza Strip,24-12-2013,F,No,al-Maghazi R.C.,Deir al-Balah,gunfire,shell,Israeli security forces,Dec 2013,0-14
20-12-2013,27,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,20-12-2013,M,No,Beit Hanun,North Gaza,gunfire,live ammunition,Israeli security forces,Dec 2013,15-44
01-11-2013,34,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,01-11-2013,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Nov 2013,15-44
01-11-2013,23,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,01-11-2013,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Nov 2013,15-44
01-11-2013,26,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,01-11-2013,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Nov 2013,15-44
10-08-2013,33,Palestinian,Eshkol Regional Council,Israel,Israel,10-08-2013,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,live ammunition,Israeli security forces,Aug 2013,15-44
11-01-2013,19,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,11-01-2013,M,Unknown,Gaza city,Gaza,gunfire,live ammunition,Israeli security forces,Jan 2013,15-44
30-11-2012,20,Palestinian,Rafah,Rafah,Gaza Strip,30-11-2012,M,No,Rafah,Rafah,gunfire,live ammunition,Israeli security forces,Nov 2012,15-44
26-11-2012,24,Palestinian,Sdei Avraham,Israel,Israel,26-11-2012,M,Yes,Khan Yunis,Khan Yunis,gunfire,live ammunition,Israeli security forces,Nov 2012,15-44
23-11-2012,19,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,23-11-2012,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,live ammunition,Israeli security forces,Nov 2012,15-44
20-11-2012,18,Palestinian,Gaza City,Gaza,Gaza Strip,20-11-2012,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Nov 2012,15-44
20-11-2012,21,Palestinian,Gaza City,Gaza,Gaza Strip,20-11-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Nov 2012,15-44
20-11-2012,40,Palestinian,Gaza City,Gaza,Gaza Strip,20-11-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Nov 2012,15-44
20-11-2012,57,Palestinian,Gaza City,Gaza,Gaza Strip,20-11-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Nov 2012,45-64
15-11-2012,27,Israeli,Kiryat Malachi,Israel,Israel,15-11-2012,M,Israelis,Kiryat Malachi,Israel,gunfire,grad rocket,Palestinian civilians,Nov 2012,15-44
15-11-2012,49,Israeli,Kiryat Malachi,Israel,Israel,15-11-2012,M,Israelis,Kiryat Malachi,Israel,gunfire,grad rocket,Palestinian civilians,Nov 2012,45-64
15-11-2012,25,Israeli,Kiryat Malachi,Israel,Israel,15-11-2012,F,Israelis,Kiryat Malachi,Israel,gunfire,grad rocket,Palestinian civilians,Nov 2012,15-44
10-11-2012,17,Palestinian,Gaza City,Gaza,Gaza Strip,10-11-2012,M,No,Gaza city,Gaza,gunfire,shell,Israeli security forces,Nov 2012,15-44
10-11-2012,18,Palestinian,Gaza City,Gaza,Gaza Strip,10-11-2012,M,No,Gaza city,Gaza,gunfire,shell,Israeli security forces,Nov 2012,15-44
10-11-2012,16,Palestinian,Gaza City,Gaza,Gaza Strip,10-11-2012,M,No,Gaza city,Gaza,gunfire,shell,Israeli security forces,Nov 2012,15-44
10-11-2012,20,Palestinian,Gaza City,Gaza,Gaza Strip,13-11-2012,M,Yes,Gaza city,Gaza,gunfire,shell,Israeli security forces,Nov 2012,15-44
10-11-2012,19,Palestinian,Gaza City,Gaza,Gaza Strip,10-11-2012,M,No,Gaza city,Gaza,gunfire,shell,Israeli security forces,Nov 2012,15-44
08-11-2012,12,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,08-11-2012,M,No,Abasan al-Kabira,Khan Yunis,gunfire,live ammunition,Israeli security forces,Nov 2012,0-14
04-11-2012,22,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,04-11-2012,M,No,al-Bureij R.C.,Deir al-Balah,gunfire,live ammunition,Israeli security forces,Nov 2012,15-44
28-10-2012,27,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,28-10-2012,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2012,15-44
24-10-2012,24,Palestinian,Rafah,Rafah,Gaza Strip,25-10-2012,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Oct 2012,15-44
24-10-2012,22,Palestinian,Rafah,Rafah,Gaza Strip,24-10-2012,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Oct 2012,15-44
23-10-2012,25,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,23-10-2012,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Oct 2012,15-44
23-10-2012,27,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,23-10-2012,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Oct 2012,15-44
23-10-2012,28,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,24-10-2012,M,Yes,Beit Lahiya,North Gaza,gunfire,shell,Israeli security forces,Oct 2012,15-44
22-10-2012,24,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,22-10-2012,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Oct 2012,15-44
22-10-2012,34,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,22-10-2012,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces,Oct 2012,15-44
14-10-2012,22,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,14-10-2012,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2012,15-44
13-10-2012,36,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,13-10-2012,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces,Oct 2012,15-44
13-10-2012,43,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,13-10-2012,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Oct 2012,15-44
07-10-2012,24,Palestinian,Rafah,Rafah,Gaza Strip,08-10-2012,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Oct 2012,15-44
28-09-2012,22,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,28-09-2012,M,No,Beit Lahiya,North Gaza,gunfire,live ammunition,Israeli security forces,Sep 2012,15-44
19-09-2012,36,Palestinian,Rafah,Rafah,Gaza Strip,19-09-2012,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Sep 2012,15-44
19-09-2012,33,Palestinian,Rafah,Rafah,Gaza Strip,19-09-2012,M,Yes,Tall a-Sultan Camp,Rafah,gunfire,missile,Israeli security forces,Sep 2012,15-44
06-09-2012,22,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,06-09-2012,M,Yes,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces,Sep 2012,15-44
06-09-2012,22,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,06-09-2012,M,Yes,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces,Sep 2012,15-44
06-09-2012,26,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,06-09-2012,M,Yes,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces,Sep 2012,15-44
05-09-2012,27,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,05-09-2012,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Sep 2012,15-44
05-09-2012,21,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,05-09-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Sep 2012,15-44
05-09-2012,25,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,05-09-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Sep 2012,15-44
03-08-2012,22,Palestinian,Rafah,Rafah,Gaza Strip,03-08-2012,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Aug 2012,15-44
13-07-2012,27,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,13-07-2012,M,Yes,a-Shati' Camp,Gaza,gunfire,shell,Israeli security forces,Jul 2012,15-44
12-07-2012,27,Palestinian,Gaza City,Gaza,Gaza Strip,12-07-2012,M,Yes,Gaza city,Gaza,gunfire,shell,Israeli security forces,Jul 2012,15-44
23-06-2012,45,Palestinian,Gaza City,Gaza,Gaza Strip,23-06-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Jun 2012,45-64
23-06-2012,23,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,23-06-2012,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
22-06-2012,29,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,22-06-2012,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Jun 2012,15-44
22-06-2012,20,Palestinian,Gaza City,Gaza,Gaza Strip,22-06-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
20-06-2012,21,Palestinian,Rafah,Rafah,Gaza Strip,20-06-2012,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Jun 2012,15-44
20-06-2012,12,Palestinian,Gaza City,Gaza,Gaza Strip,20-06-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Jun 2012,0-14
19-06-2012,16,Palestinian,al-Musadar,Deir al-Balah,Gaza Strip,19-06-2012,M,No,al-Musadar,Deir al-Balah,gunfire,shell,Israeli security forces,Jun 2012,15-44
19-06-2012,18,Palestinian,al-Musadar,Deir al-Balah,Gaza Strip,19-06-2012,M,No,al-Maghazi R.C.,Deir al-Balah,gunfire,shell,Israeli security forces,Jun 2012,15-44
18-06-2012,22,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-06-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
18-06-2012,23,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-06-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
18-06-2012,25,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-06-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
18-06-2012,20,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-06-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jun 2012,15-44
01-06-2012,17,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,03-06-2012,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,Jun 2012,15-44
01-06-2012,30,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,01-06-2012,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,Jun 2012,15-44
01-06-2012,18,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,01-06-2012,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,live ammunition,Israeli security forces,Jun 2012,15-44
30-03-2012,18,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,30-03-2012,M,No,Beit Lahiya,North Gaza,gunfire,live ammunition,Israeli security forces,Mar 2012,15-44
12-03-2012,35,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,12-03-2012,F,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
12-03-2012,24,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,12-03-2012,M,Yes,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces,Mar 2012,15-44
12-03-2012,71,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,12-03-2012,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Mar 2012,> 64
12-03-2012,19,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,12-03-2012,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,Mar 2012,15-44
12-03-2012,32,Palestinian,Gaza City,Gaza,Gaza Strip,12-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
12-03-2012,23,Palestinian,Gaza City,Gaza,Gaza Strip,12-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
11-03-2012,58,Palestinian,Gaza City,Gaza,Gaza Strip,11-03-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,45-64
11-03-2012,12,Palestinian,Jabalya,North Gaza,Gaza Strip,11-03-2012,M,No,Jabalya,North Gaza,gunfire,missile,Israeli security forces,Mar 2012,0-14
11-03-2012,22,Palestinian,Gaza City,Gaza,Gaza Strip,11-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,21,Palestinian,Gaza City,Gaza,Gaza Strip,10-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,20,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,10-03-2012,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,52,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,10-03-2012,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces,Mar 2012,45-64
10-03-2012,22,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,10-03-2012,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,24,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,10-03-2012,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,25,Palestinian,Egyptian Border,Rafah,Gaza Strip,10-03-2012,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,23,Palestinian,Gaza City,Gaza,Gaza Strip,10-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,22,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,10-03-2012,M,Yes,al-Maghazi R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Mar 2012,15-44
10-03-2012,27,Palestinian,Gaza City,Gaza,Gaza Strip,10-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
09-03-2012,44,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
09-03-2012,28,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
09-03-2012,49,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Mar 2012,45-64
09-03-2012,24,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
09-03-2012,23,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
09-03-2012,32,Palestinian,Gaza City,Gaza,Gaza Strip,09-03-2012,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Mar 2012,15-44
11-02-2012,71,Palestinian,Gaza City,Gaza,Gaza Strip,11-02-2012,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Feb 2012,> 64
18-01-2012,23,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-01-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jan 2012,15-44
18-01-2012,18,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,18-01-2012,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,Jan 2012,15-44
30-12-2011,22,Palestinian,Juhor a-Dik,Gaza,Gaza Strip,30-12-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
27-12-2011,22,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,27-12-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
09-12-2011,36,Palestinian,Gaza City,Gaza,Gaza Strip,09-12-2011,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
09-12-2011,9,Palestinian,Gaza City,Gaza,Gaza Strip,09-12-2011,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,0-14
08-12-2011,43,Palestinian,Gaza City,Gaza,Gaza Strip,08-12-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
08-12-2011,19,Palestinian,Gaza City,Gaza,Gaza Strip,08-12-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
07-12-2011,23,Palestinian,Gaza City,Gaza,Gaza Strip,07-12-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Dec 2011,15-44
14-11-2011,22,Palestinian,Gaza City,Gaza,Gaza Strip,14-11-2011,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Nov 2011,15-44
05-11-2011,27,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,05-11-2011,M,Yes,al-Qararah,Khan Yunis,gunfire,missile,Israeli security forces,Nov 2011,15-44
03-11-2011,23,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,03-11-2011,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Nov 2011,15-44
03-11-2011,23,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,03-11-2011,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Nov 2011,15-44
31-10-2011,21,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,31-10-2011,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2011,15-44
31-10-2011,25,Palestinian,al-Fukhari,Khan Yunis,Gaza Strip,31-10-2011,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2011,15-44
30-10-2011,25,Palestinian,Rafah,Rafah,Gaza Strip,30-10-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,24,Palestinian,Gaza City,Gaza,Gaza Strip,29-10-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,36,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Yabna R.C.,Rafah,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,23,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,26,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,33,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,24,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,56,Israeli,Ashkelon,Israel,Israel,30-10-2011,M,Israelis,Ashkelon,Israel,gunfire,grad rocket,Palestinian civilians,Oct 2011,45-64
29-10-2011,23,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Oct 2011,15-44
29-10-2011,21,Palestinian,Rafah,Rafah,Gaza Strip,29-10-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Oct 2011,15-44
06-09-2011,21,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,06-09-2011,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces,Sep 2011,15-44
25-08-2011,23,Palestinian,Gaza City,Gaza,Gaza Strip,25-08-2011,M,Unknown,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
25-08-2011,27,Palestinian,Gaza City,Gaza,Gaza Strip,25-08-2011,M,Unknown,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
25-08-2011,22,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,25-08-2011,M,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
25-08-2011,18,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,25-08-2011,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,21,Palestinian,Rafah,Rafah,Gaza Strip,24-08-2011,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,20,Palestinian,Rafah,Rafah,Gaza Strip,24-08-2011,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,62,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,24-08-2011,M,No,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Aug 2011,45-64
24-08-2011,19,Palestinian,Rafah,Rafah,Gaza Strip,24-08-2011,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,22,Palestinian,Rafah,Rafah,Gaza Strip,24-08-2011,M,No,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,20,Palestinian,Gaza City,Gaza,Gaza Strip,24-08-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
24-08-2011,36,Palestinian,Tall a-Sultan R.C.,Rafah,Gaza Strip,24-08-2011,M,Yes,Tall a-Sultan Camp,Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
21-08-2011,13,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,29-08-2011,M,No,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,Aug 2011,0-14
20-08-2011,38,Israeli,Beersheba,Israel,Israel,20-08-2011,M,Israelis,Beersheba,Israel,gunfire,grad rocket,Palestinian civilians,Aug 2011,15-44
19-08-2011,22,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,19-08-2011,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Aug 2011,15-44
19-08-2011,21,Palestinian,Gaza City,Gaza,Gaza Strip,19-08-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
19-08-2011,25,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,19-08-2011,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
19-08-2011,23,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,19-08-2011,M,Yes,al-Bureij R.C.,Deir al-Balah,gunfire,missile,Israeli security forces,Aug 2011,15-44
19-08-2011,1,Palestinian,Gaza City,Gaza,Gaza Strip,19-08-2011,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,0-14
19-08-2011,28,Palestinian,Gaza City,Gaza,Gaza Strip,19-08-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
19-08-2011,32,Palestinian,Gaza City,Gaza,Gaza Strip,19-08-2011,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
18-08-2011,43,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
18-08-2011,26,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
18-08-2011,40,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,Yes,a-Shaburah (R.C),Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
18-08-2011,46,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,Yes,Tall a-Sultan Camp,Rafah,gunfire,missile,Israeli security forces,Aug 2011,45-64
18-08-2011,1,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,No,Rafah,Rafah,gunfire,missile,Israeli security forces,Aug 2011,0-14
18-08-2011,32,Palestinian,Rafah,Rafah,Gaza Strip,18-08-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Aug 2011,15-44
16-08-2011,30,Palestinian,Gaza City,Gaza,Gaza Strip,16-08-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
16-08-2011,30,Palestinian,Gaza City,Gaza,Gaza Strip,19-08-2011,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,Aug 2011,15-44
14-07-2011,21,Palestinian,Rafah,Rafah,Gaza Strip,14-07-2011,M,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,Jul 2011,15-44
05-07-2011,31,Palestinian,al-Musadar,Deir al-Balah,Gaza Strip,05-07-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Jul 2011,15-44
05-07-2011,28,Palestinian,al-Musadar,Deir al-Balah,Gaza Strip,05-07-2011,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,Jul 2011,15-44
21-05-2011,18,Palestinian,al-Bureij R.C.,Deir al-Balah,Gaza Strip,21-05-2011,M,No,a-Nuseirat Camp,Deir al-Balah,gunfire,live ammunition,Israeli security forces,May 2011,15-44
